you,ты
coolest,самый крутой
casting,Кастинг
batch,партия
almighty,всемогущий
sum,сумма
spark,искра
perfection,совершенство
jelly,желе
getaway,уходи
cracking,треск
behold,вот
verge,граница
timer,таймер
surf,серфить
superman,супермен
specialty,специальность
snoop,шпионить
semi,полу
leverage,кредитное плечо
jeopardize,подвергать опасности
janitor,дворник
examination,осмотр
compact,компактный
clueless,невежественный
arriving,прибытие
adding,добавление
ungrateful,неблагодарный
unacceptable,неприемлемо
shorter,короче
serum,сыворотка
lure,приманка
irrational,иррациональный
galaxy,галактика
doom,гибель
classified,классифицированный
beautifully,красиво
approaching,приближающийся
traitor,предатель
sympathetic,симпатичный
smug,самодовольный
rental,аренда
prostitute,девушка легкого поведения
monk,монах
inventory,инвентарь
improved,улучшен
horny,роговой
developing,развивающийся
commonplace,банальность
banging,стук
amendment,поправка
vent,вентиляция
traumatic,травматический
tow,буксировать
sweaty,потный
overboard,за борт
insight,на виду
haven,убежище
fluid,жидкость
era,эра
crappy,дерьмовый
crab,краб
chunk,кусок
chandler,чендлер
appliance,прибор
stain,пятно
shack,лачуга
pervert,извращенец
occupied,занят
handful,горсть
gag,кляп
flick,щелкнуть
expertise,экспертиза
embarrassment,смущение
drum,барабан
concussion,сотрясение
summon,вызывать
splitting,расщепление
sneaky,подлый
sloppy,небрежный
settling,поселение
reschedule,перенести
notch,выемка
hooray,Ура
extend,расширять
exquisite,изысканный
disrespect,неуважение
amateur,любитель
voting,голосование
shatter,разбить
ruthless,безжалостный
refill,пополнение
payroll,платежная ведомость
mourning,траур
marijuana,марихуана
manly,мужественный
iris,Ирис
involving,с привлечением
hunk,кусок
entertain,развлекать
earthquake,землетрясение
drift,дрейф
dreadful,ужасный
doorstep,порог
confirmation,подтверждение
stressful,стрессовый
preoccupy,озабоченность
predictable,предсказуемый
madly,безумно
embassy,посольство
confuse,путать
cappuccino,капучино
bouquet,букет
bailey,Бейли
amulet,амулет
addiction,зависимость
warming,потепление
villa,вилла
unlock,разблокировать
satisfy,удовлетворить
relaxing,расслабляющий
lone,одинокий
fudge,выдумка
elaborate,разрабатывать
concerning,что касается
blocking,блокировка
mode,Режим
hunger,голод
hamburger,гамбургер
greet,приветствовать
gravy,соус
dreamt,мечтал
dice,игральная кость
collecting,сбор
backpack,рюкзак
agreeing,согласие
supervisor,руководитель
starling,скворец
meter,метр
likewise,аналогично
irrelevant,несущественный
felon,уголовник
fasten,закрепить
easiest,самый легкий
disco,дискотека
conceivable,мыслимый
compassionate,сострадательный
backstage,за кулисами
agony,агония
adorn,украшать
tweak,поправить
thieve,воровать
surgical,хирургический
sunrise,Восход
strangely,как ни странно
recital,сольный концерт
productive,продуктивный
meaningful,значимый
marching,марширующий
kitten,котенок
immunity,иммунитет
frighten,пугать
dearly,дорого
closure,закрытие
ambition,амбиция
unstable,неустойчивый
sweetness,сладость
stinky,вонючий
salvage,спасение
petition,петиция
lowlife,низкий уровень жизни
juicy,сочный
intentionally,намеренно
inspire,вдохновлять
forgave,простил
fart,пердеть
devotion,преданность
despicable,презренный
comfy,удобный
breach,нарушение
alternate,чередовать
twilight,сумерки
stove,плита
slot,слот
pawn,пешка
lengthen,удлинить
farewell,прощание
experimental,экспериментальный
caviar,икра
carnival,карнавал
boost,увеличение
bliss,блаженство
token,жетон
temporarily,временно
superstition,суеверие
supernatural,сверхъестественное
sunk,затонул
recorder,рекордер
rang,звонил
presidential,президентский
motivate,мотивировать
fraternity,братство
dryer,сушилка
chewing,жевать
brake,тормозить
bounty,щедрость
axe,топор
unbelievably,невероятно
survivor,оставшийся в живых
respectable,респектабельный
premise,предпосылка
occasional,случайный
indication,индикация
gutter,желоб
flashlight,фонарик
bloodless,бескровный
beware,остерегайтесь
wily,хитрый
won,выиграл
turf,дерн
shovel,лопата
puff,затяжка
privately,в частном порядке
locking,запирание
heartless,бессердечный
echo,эхо
comparison,сравнение
childish,по-детски
cardiac,сердечный
brace,скоба
blunt,тупой
admission,прием
vanilla,ваниль
utterly,совершенно
suspension,подвеска
stun,оглушить
sadly,печально
reserved,зарезервированный
lowest,самый низкий
kidding,шучу
jerk,придурок
hitch,заминка
flirt,флиртовать
extension,расширение
establishment,учреждение
delayed,с задержкой
christening,крещение
casket,шкатулка
broker,маклер
antibiotic,антибиотик
abduct,похищать
witchcraft,колдовство
smelly,вонючий
running,Бег
protein,белок
paramedic,фельдшер
newest,новейший
murmur,бормотать
marathon,марафон
intact,неповрежденный
grandpa,дедушка
diaper,подгузник
deceased,умерший
burka,бурка
bun,булочка
accounting,бухгалтерский учет
shred,крошить
rethink,переосмыслить
pistol,пистолет
leash,поводок
hearted,сердечный
flown,летал
feast,пир
extent,степень
educated,образованный
disgrace,позор
deposition,отложение
burial,захоронение
bookstore,книжный магазин
veil,вуаль
trespass,нарушение владения
optimistic,оптимистичный
jeopardy,опасность
injection,инъекция
hilarious,веселый
distinct,отчетливый
directed,направленный
dame,дама
curve,кривая
cone,конус
challenging,испытывающий
alter,изменить
wilderness,пустыня
vindictive,мстительный
venture,предприятие
tomb,могила
teeny,крошечный
stroll,прогуляться
sitting,сидя
rebuild,перестроить
ordeal,испытание
intimacy,близость
inheritance,наследство
exploded,взорвался
donate,пожертвовать
distracting,отвлекающий
despair,отчаяние
democratic,демократичный
cracker,взломщик
ammunition,боеприпасы
thoroughly,тщательно
sheer,чистый
scarecrow,чучело
refreshing,освежающий
prosecute,преследовать
misplace,неуместен
merchandise,товар
membership,членство
jinx,сглазить
heroic,героический
facial,лица
clan,клан
bummer,облом
syrup,сироп
shuttle,челнок
resemblance,сходство
premature,преждевременный
pod,стручок
honours,почести
gravity,сила тяжести
contribution,вклад
acquainted,знакомый
vest,жилет
untie,развязать
salute,отдать честь
priceless,бесценен
pike,щука
partying,устраивать вечеринки
moonlight,свет луны
lightly,слегка
lifting,подъем
glowing,светящийся
generator,генератор
flowing,течет
explosive,взрывной
cinnamon,корица
breakthrough,прорвать
ballistic,баллистический
assassin,убийца
antidote,противоядие
analyze,анализировать
allowance,пособие
adjourn,откладывать
understatement,преуменьшение
touchy,обидчивый
subconscious,подсознание
roommate,сосед по комнате
pitcher,кувшин
ping,пинг
offend,оскорблять
knives,ножи
irresistible,неотразимый
incarnate,воплощенный
hostility,враждебность
funky,напуганный
equation,уравнение
digital,цифровой
centered,по центру
watcher,наблюдатель
turtle,черепаха
transmission,коробка передач
sleigh,сани
sarcastic,саркастический
recess,перерыв
rebound,отскок
rebel,бунтарь
pirate,пират
living,живущий
heartache,душевная боль
fundraiser,сборщик средств
dynamite,динамит
doorman,швейцар
documentary,документальный
discreet,сдержанный
considerate,внимательный
catering,общественное питание
author,автор
vacuum,вакуум
urine,моча
strung,натянутый
stitch,шить
sordid,грязный
protector,защитник
portion,часть
moss,мох
mat,мат
kindergarten,детский сад
flaw,недостаток
diving,дайвинг
discharge,разряд
confidentiality,конфиденциальность
blizzard,Снежная буря
amongst,среди
woody,древесный
tactic,тактика
straits,проливы
spooky,жуткий
spaghetti,спагетти
powerless,бессильный
playground,игровая площадка
paranoia,паранойя
hopeful,обнадеживающий
havoc,опустошение
evaluation,оценка
eavesdropping,подслушивание
doughnut,пончик
diversion,отвлечение
behead,обезглавить
aspen,осина
anyplace,любое место
accessory,аксессуар
titanic,титанический
stuffing,начинка
speeding,превышение скорости
slime,слизь
royalty,роялти
maze,лабиринт
marital,супружеский
magician,волшебник
lurk,прятаться
journalism,журналистика
interior,интерьер
hog,свинья
hatch,вылупиться
greeting,приветствие
ethical,этический
equipped,оборудованный
environmental,экологический
credibility,авторитет
credential,учетные данные
consistent,последовательный
claw,коготь
chopped,нарезанный
bridal,свадебный
bedside,прикроватный
babysitting,присмотр за детьми
authorized,уполномоченный
assumption,предположение
youngest,самый младший
witty,остроумный
unforgivable,непростительный
underworld,преисподняя
sophomore,второкурсник
selfless,самоотверженный
secrecy,секретность
runway,ВПП
programming,программирование
professionally,профессионально
moving,перемещение
meltdown,крах
incoming,входящий
funding,финансирование
curl,завиток
comedian,комик
buckle,пряжка
assembly,сборка
admired,восхищался
adjustment,корректировка
slippery,скользкий
ridge,гребень
queer,странный
graveyard,кладбище
gifted,одаренный
dale,дол
cynical,циничный
assassination,убийство
verbal,словесный
unpredictable,непредсказуемый
stoop,сутулость
plumbing,сантехника
lingerie,Дамское белье
layer,слой
fluffy,пушистый
dresser,комод
coup,переворот
chauffeur,шофер
bouncing,подпрыгивая
veal,телятина
sanity,здравомыслие
primitive,примитивный
pending,в ожидании
orderly,аккуратный
obsessive,навязчивый
motto,девиз
meteor,метеор
glimpse,проблеск
froze,замерз
execute,выполнять
ensure,обеспечить
dispute,спор
crop,урожай
consulate,консульство
amend,поправить
syringe,шприц
symphony,симфония
sleazy,неряшливый
shaky,шаткий
runner,бегун
riddle,загадка
ranger,рейнджер
poke,тыкать
pickup,поднимать
nutty,чокнутый
menace,угроза
inspiring,вдохновляющий
housekeeper,домработница
fingernail,ноготь
chronic,хронический
bass,бас
baking,выпечка
whine,ныть
utter,полный
thug,бандит
strap,ремень
sniff,нюхать
sedative,успокаивающее
picket,пикет
jumbo,гигантский
hound,гончая
homosexual,гомосексуалист
flea,блоха
flatter,льстить
dwell,жить
dent,вмятина
assignment,назначение
advisor,советник
vile,мерзкий
unreasonable,необоснованный
souvenir,сувенир
psychopath,психопат
operative,оперативный
obstruction,препятствие
lockdown,карантин
gloat,злорадствовать
filth,грязь
exterminate,истреблять
electronic,электронный
edgy,резкий
cedar,кедр
betraying,предательство
appealing,привлекательный
wrath,гнев
trainer,тренер
rye,рожь
publicly,публично
marshal,маршал
heavenly,небесный
hash,хэш
halt,остановка
grim,мрачный
employed,нанятый
doggie,песик
diplomatic,дипломатический
dilemma,дилемма
contagious,заразительный
cheering,аплодисменты
carved,резной
wrench,гаечный ключ
thingy,штуковина
rogue,мошенник
raft,плот
piggy,свинья
peep,писк
pageant,конкурс
liveliness,живость
gardener,садовник
continuing,продолжающийся
vase,ваза
squat,приседать
motivation,мотивация
introduction,введение
feminine,женский
eyeball,глазное яблоко
disc,диск
convertible,кабриолет
context,контекст
suspense,неизвестность
poppy,мак
mice,мышей
incompetent,некомпетентный
drip,капать
differ,отличаться
copper,медь
sensitivity,чувствительность
prophecy,пророчество
immortal,бессмертный
colourless,бесцветный
asking,спрашивая
demonstrate,продемонстрировать
acquaintance,знакомство
superficial,поверхностный
ingredient,ингредиент
bruised,в синяках
apparent,очевидный
worthwhile,стоящий
mop,швабра
impatient,нетерпеливый
arctic,Арктический
profound,глубокий
mocking,насмешливый
concentration,концентрация
tribute,дань уважения
postcard,открытка
judgement,суждение
engineering,инженерное дело
commonwealth,содружество
intimidate,запугать
doorbell,дверной звонок
cultural,культурный
café,кафе
allergy,аллергия
vegetarian,вегетарианец
telegram,телеграмма
pharmacy,аптека
obstacle,препятствие
contribute,делать вклад
bankrupt,банкрот
neurotic,невротик
microphone,микрофон
persuasive,убедительный
lighthouse,маяк
liability,ответственность
detailed,подробный
condolences,соболезнования
bulb,лампочка
await,Ждите
ambush,засада
adolescent,подросток
abort,прервать
verse,стих
undermine,подорвать
sunlight,Солнечный лучик
slippers,Домашняя обувь
nonetheless,тем не менее
liaison,связь
encouragement,поощрение
dictate,диктовать
blueberry,черника
apron,фартук
anticipated,ожидаемый
vouch,поручиться
sibling,брат
magically,волшебно
listener,слушатель
fearless,бесстрашный
dinosaur,динозавр
repeatedly,несколько раз
moody,капризный
indulge,баловаться
horribly,ужасно
expand,расширять
dialogue,диалог
adventurous,авантюрный
violin,скрипка
suffice,хватит
oatmeal,овсяная каша
midst,посреди
maiden,девица
damaging,разрушительный
boredom,скука
sunglasses,темные очки
prognosis,прогноз
molecular,молекулярный
hazel,лещина
striking,поразительный
ripe,спелый
plumber,сантехник
newborn,новорожденный
swift,стремительный
speculation,спекуляция
rewrite,переписать
handicapped,инвалид
dishonest,нечестный
amusement,развлечение
unborn,нерожденный
toaster,тостер
sew,шить
radioactive,радиоактивный
questionable,под вопросом
overlook,не заметить
underpants,Трусы
stool,табурет
platinum,платина
nightclub,ночной клуб
minority,меньшинство
divided,разделенный
dangerously,опасно
considerable,значительный
tuition,обучение
godmother,крестная мама
crude,сырой
criticize,критиковать
whichever,какой бы ни
correction,исправление
incentive,стимул
yogurt,йогурт
submarine,подводная лодка
startle,испугать
interpretation,интерпретация
ingoing,входящий
enchant,очаровывать
conservative,консервативный
bandage,повязка
awareness,осведомленность
supervision,наблюдение
sedate,успокаивать
marker,маркер
brainwash,промывание мозгов
adamant,непреклонный
uncommon,необычный
medieval,средневековый
maturity,зрелость
maternity,материнство
marinade,маринад
candid,откровенный
snore,храпеть
sneeze,чихать
smuggle,контрабандой
salty,соленый
morbid,болезненный
licence,лицензия
defenceless,беззащитный
cradle,колыбель
booking,бронирование
traumatize,травмировать
muddy,мутный
grapefruit,грейпфрут
bossy,властный
bacteria,бактерии
speechless,безмолвный
parachute,парашют
cremate,кремировать
transaction,сделка
polar,полярный
intrude,вторгаться
ignorance,невежество
handyman,разнорабочий
greens,зелень
diabete,диабет
constitutional,конституционный
pronoun,местоимение
pottery,керамика
obscene,непристойный
induce,побудить
immigration,иммиграция
elevate,поднять
disable,отключить
crust,корка
conductor,дирижер
assessment,оценка
withdrawal,вывод
undone,отменен
symptom,симптом
mascara,тушь
iceberg,айсберг
convert,конвертировать
complicate,усложнять
combine,комбинировать
transformation,трансформация
telescope,телескоп
stumble,спотыкаться
saliva,слюна
robber,грабитель
reconnect,переподключить
irregular,нерегулярный
invalid,недействительным
evict,выселять
diver,дайвер
cushion,подушка
rhyme,рифма
phenomenon,явление
motherhood,материнство
migraine,мигрень
frosty,морозный
friction,трение
aspect,аспект
aggression,агрессия
abusive,оскорбительный
trivial,банальный
tenant,арендатор
supervise,контролировать
superstitious,суеверный
statistics,статистика
homemade,самодельный
glamour,гламур
disoriented,дезориентирован
crossroad,перекресток
assurance,гарантия
thesis,Тезис
terrorism,терроризм
respectfully,С уважением
painkiller,болеутоляющее
intellect,интеллект
dole,пособие по безработице
amuse,развлечь
alienate,отчуждать
unwanted,нежелательный
soften,смягчить
plaster,штукатурка
insomnia,бессонница
fume,дым
foremost,в первую очередь
deviate,отклоняться
crave,жаждать
craft,ремесло
conceal,скрывать
abdomen,брюшная полость
toenail,ноготь на ноге
organism,организм
incapable,неспособный
fade,исчезать
erotic,эротический
dwelling,жилище
calory,калорийность
breathtaking,захватывающий
unattractive,непривлекательный
representative,представитель
residential,Жилой
resignation,отставка
substantial,существенный
agricultural,сельскохозяйственный
arbitrary,произвольный
damp,сырой
detached,отдельный
dictator,диктатор
digestion,пищеварение
discourage,препятствовать
discrimination,дискриминация
disgraceful,позорный
disguise,маскировка
disorganized,неорганизованный
diversity,разнообразие
download,скачать
compensate,компенсировать
competence,компетентность
earnest,серьезный
eclipse,затмение
economical,экономичный
elastic,эластичный
electronics,электроника
embargo,эмбарго
encyclopaedia,энциклопедия
energetic,энергичный
enjoyment,удовольствие
enlargement,увеличение
envious,завистливый
equator,экватор
erect,возводить
expenditure,статьи расходов
eyelid,веко
farsighted,дальновидный
feminist,феминистка
forfeit,утрата
fort,форт
furthermore,более того
futile,бесполезен
hazardous,опасный
immortality,бессмертие
initially,первоначально
intricate,запутанный
juvenile,малолетний
kaleidoscope,калейдоскоп
magnify,увеличивать
miscellaneous,Разное
momentary,мгновенный
mutter,бормотать
nylon,нейлон
oar,весло
orient,ориентироваться
ornament,орнамент
oxen,волы
oyster,устрица
parasol,зонтик
pasture,пастбище
pioneer,пионер
playful,игривый
poisonous,ядовитый
practitioner,практикующий
precision,точность
prefix,приставка
prestige,престиж
punctuation,пунктуация
quarrel,ссора
raffle,розыгрыш
rationalize,рационализировать
relay,реле
rim,обод
rugby,регби
scallop,гребешок
spank,шлепать
specialize,специализироваться
stereotype,стереотип
complement,дополнять
completely,полностью
completion,завершение
complimentary,бесплатный
component,составная часть
composition,сочинение
comprehension,понимание
conceited,тщеславный
connoisseur,знаток
consequently,вследствие этого
conservation,сохранение
considerably,значительно
consistency,последовательность
consonant,согласный звук
conspicuous,бросающийся в глаза
constitute,составлять
consumer,потребитель
consumption,потребление
contemplate,созерцать
contemporary,современный
contented,доволен
continuous,непрерывный
contradict,противоречить
contradiction,противоречие
contrast,контраст
controversial,противоречивый
controversy,полемика
conventional,обычный
copier,копировальный аппарат
cosmopolitan,космополитичный
counterfeit,подделка
countryside,сельская местность
cram,втиснуть
crayon,мелок
cricket,крикет
cube,куб
cue,реплика
culprit,виновник
cupboard,шкаф
curriculum,учебная программа
customs,Таможня
cylinder,цилиндр
interim,промежуточный
locum,местный житель
stride,шагать
subjective,субъективный
submission,подчинение
subordinate,подчиненный
subscription,подписка
subtract,вычесть
suburb,пригород
supplement,дополнение
supporter,сторонник
swimsuit,купальник
syllable,слог
syllabus,учебный план
abbreviate,сокращать
abode,обитель
abolish,отменить
abound,изобиловать
abrupt,резкий
abstinence,воздержание
accommodate,приспособить
accord,согласие
accumulate,накапливать
accustom,приучать
acquaint,знакомить
adhere,придерживаться
adjective,прилагательное
administer,управлять
admissible,допустимый
adverb,наречие
adversary,противник
affability,приветливость
affirm,подтвердить
agrarian,аграрный
walnut,грецкий орех
wary,осторожный
watery,водянистый
wharf,причал
whirl,кружиться
wholly,полностью
wilful,умышленный
willingness,готовность
wireless,беспроводной
withhold,удерживать
wrangle,пререкания
wring,выжать
vaccination,вакцинация
vandalism,вандализм
vapour,пар
varnish,лак
velocity,скорость
venison,оленина
venomous,ядовитый
verification,проверка
versatile,универсальный
vestige,пережиток
vibrate,вибрировать
vigilance,бдительность
vigorous,энергичный
visibility,видимость
vogue,мода
volleyball,волейбол
vulgar,пошлый
vulture,стервятник
ulcer,язва
unaccustomed,непривычный
unavoidable,неизбежный
unaware,не подозревая
unbutton,расстегивать
unchanged,без изменений
undeniable,неоспоримый
unequal,неравный
uneven,неровный
unfamiliar,незнакомый
unfriendly,недружелюбный
unjust,несправедливый
unkind,недобрый
unruly,непослушный
unrest,волнения
unsettled,неурегулированный
unskilful,неумелый
untidy,неопрятный
unworthy,недостойный
upbrining,воспитание
uphill,в гору
uprising,восстание
usage,Применение
utmost,крайний
tack,закрепка
tangible,осязаемый
tariff,тариф
tea-pot,заварочный чайник
teaspoon,чайная ложка
tedious,утомительный
teem,кишеть
temporal,временный
tendon,сухожилие
testament,завещание
test-tube,пробирка
textile,текстиль
text-message,текстовое сообщение
theological,богословский
thought,мысль
threshold,порог
thrift,бережливость
timid,робкий
tint,оттенок
toil,трудиться
tonsil,миндалина
torrent,торрент
tortoise,черепаха
trait,черта характера
tram,трамвай
transient,преходящий
treason,измена
tread,ступать
trickle,струйка
Trinity,Троица
trolley,тележка
tsar,царь
turban,тюрбан
turbulent,бурный
turnip,репа
tusk,бивень
twirl,вертеть
twitter,твиттер
tyran,тиран
typist,машинистка
allege,утверждать
allot,выделить
alloy,сплав
allude,намекать
allusion,намек
aloud,вслух
alphabet,алфавит
altitude,высота
aluminium,алюминий
amass,накапливать
amid,среди
amnesty,амнистия
amorous,влюбчивый
anaemia,анемия
analogy,аналогия
anatomy,анатомия
anew,заново
animate,оживлять
animosity,враждебность
annex,приложение
anomalous,аномальный
anthem,гимн
ant-hill,муравейник
antipathy,антипатия
antiquarian,антикварный
apathetic,апатичный
apostle,апостол
apparatus,аппарат
appease,успокаивать
appendix,приложение
appoint,назначать
appraise,оценивать
apprehension,опасение
apprentice,ученик
apt,подходящий
Arab,Араб
arc,дуга
archbishop,архиепископ
archives,архивы
ardent,пылкий
aristocracy,аристократия
armchair,кресло
armistice,перемирие
armpit,подмышка
aroma,аромат
arouse,возбуждать
arrears,задолженность
artful,хитрый
ascend,подниматься
ascertain,выяснять
ashore,на берегу
asparagus,спаржа
aspiration,стремление
assent,согласие
assert,утверждать
assimilate,ассимилировать
astray,сбиться с пути
atheism,атеизм
atrocious,ужасный
audible,слышимый
austerity,строгость
auxiliary,вспомогательный
avalanche,лавина
aversion,отвращение
aviation,авиация
bale,тюк
bamboo,бамбук
barley,ячмень
barracks,бараки
barren,бесплодный
barricade,баррикада
barter,бартер
beech,бук
beetroot,свекла
benediction,благословение
bereave,лишать
berch,Berch
bilateral,двусторонний
birch,береза
bladder,мочевой пузырь
bleat,блеять
blister,волдырь
blot,пятно
boar,кабан
bonfire,костер
bonnet,капот
botany,ботаника
box-office,Театральная касса
boycott,бойкотировать
boyish,мальчишеский
brim,край
brisk,бойкий
brooch,брошь
brood,выводок
brow,лоб
bulk,масса
bulletin,бюллетень
buoyancy,плавучесть
calamity,бедствие
camomile,ромашка
canary,канарейка
candied,засахаренный
canteen,столовая
canvass,агитировать
capability,способность
caprice,каприз
captivity,плен
caravan,караван
cardinal,кардинал
caress,ласкать
carp,карп
cartrige,патрон
cask,бочка
cataract,катаракта
caterpillar,гусеница
cathedral,кафедральный собор
cauliflower,цветная капуста
catastrophe,катастрофа
cavalry,кавалерия
cede,уступать
celery,сельдерей
census,перепись
cessation,прекращение
chaste,целомудренный
chatter,болтовня
chirp,щебетать
chisel,долото
chivalrous,рыцарский
chord,аккорд
cipher,шифр
clad,одетый
clang,лязгать
clasp,застежка
clatter,стучать
clench,сжимать
clod,ком
clove,гвоздика
clumsiness,неуклюжесть
clutch,сцепление
coarse,грубый
coax,уговаривать
cobbler,сапожник
cod,треска
cod-liver,печень трески
cognition,познание
coil,катушка
collaborate,сотрудничать
colt,жеребенок
combustible,горючий
comet,комета
commence,начинать
commotion,волнение
compel,принуждать
compile,компилировать
compliance,соответствие
compose,сочинять
compress,компресс
comprise,включать
consession,согласие
conciliate,примирить
concord,согласие
condensed,конденсированный
confederate,союзник
confer,совещаться
confiscate,конфисковать
conform,соответствовать
conjecture,догадка
conjunction,соединение
consensus,консенсус
consignment,партия
consternation,испуг
constituent,составляющая
constrain,сдерживать
construe,толковать
consume,потреблять
contend,бороться
contentment,удовлетворенность
continual,постоянный
contraceptive,контрацептив
contrivance,изобретение
convey,передать
co-operate,сотрудничать
co-ordinate,координировать
coral,коралл
coronation,коронация
correspond,соответствовать
cosy,уютный
countess,графиня
crater,кратер
crayfish,рак
crease,складка
creche,ясли
credulous,доверчивый
crescent,полумесяц
crest,гребень
croak,квакать
crochet,вязание крючком
crockery,посуда
crumple,мять
crusade,крестовый поход
cudgel,дубина
currant,смородина
cutlery,столовые приборы
cutlet,котлета
cyber,кибер
cypress,кипарис
daffodil,нарцисс
dainty,лакомство
dandelion,одуванчик
Dane,Датчанин
dangle,мотаться
daze,оцепенение
debit,дебет
deceit,обман
deduce,выводить
default,по умолчанию
defer,отложить
defiance,неповиновение
deficiency,недостаток
deform,деформировать
defrost,разморозить
degenerate,выродиться
degradation,деградация
deity,божество
dejection,уныние
delicacy,деликатес
deluge,потоп
demolish,снести
demure,скромный
deplorable,прискорбный
deport,депортировать
deprivation,лишение
deride,высмеивать
desirable,желательно
desolate,пустынный
despot,деспот
deter,сдерживать
detergent,моющее средство
detriment,ущерб
devolution,деволюция
diarrhoea,понос
dilate,расширять
diligence,усердие
diminish,уменьшать
disapproval,неодобрение
disbelief,неверие
discard,отбросить
disciple,ученик
discomfort,дискомфорт
discredit,дискредитировать
dismal,мрачный
dispatch,отправка
dissatisfaction,неудовлетворенность
domicile,домициль
dormitory,общежитие
dowry,приданое
drape,драпировка
drizzle,морось
drone,дрон
drought,засуха
drowsy,сонный
dusk,сумерки
Dutch,Голландский
dynasty,династия
dysentery,дизентерия
earnings,заработок
easel,мольберт
edible,съедобный
egoism,эгоизм
embankment,набережная
embark,садиться
embroider,вышивать
empower,уполномочивать
endorse,одобрять
enrich,обогащать
entail,влекут за собой
envisage,предусмотреть
err,ошибаться
escalator,эскалатор
evasion,уклонение
excel,превосходить
exempt,освобождать
exhale,выдох
expedient,целесообразно
expend,расходовать
extinct,вымерший
fable,басня
faciliate,способствовать
falcon,сокол
fastidious,привередливый
fathom,вникать
feat,подвиг
feeble,слабый
ferocious,свирепый
fibre,волокно
fiddle,скрипка
fig,Инжир
fillet,филе
flake,хлопья
flask,фляга
flippers,ласты
flourish,процветать
flute,флейта
foliage,листва
fortress,крепость
frenzy,безумие
funnel,воронка
gild,позолота
gills,жабры
giraffe,жирафа
girdle,пояс
gloss,блеск
gnat,комар
go-between,посредник
grope,нащупывать
guile,хитрость
gust,порыв ветра
haphazard,случайный
harness,упряжь
haze,мгла
hearth,очаг
hedge,живая изгородь
helm,шлем
heritage,наследие
heron,цапля
herring,сельдь
hew,рубить
highjack,кража
hind,задняя
hurdle,препятствие
hurl,швырять
hybrid,гибридный
icicle,сосулька
ignoble,неблагородный
illuminate,освещать
imaginable,вообразимый
immense,необъятный
imminent,неизбежный
immobile,неподвижен
immoderate,неумеренный
impatience,нетерпение
impossibility,невозможность
imprison,заключить в тюрьму
improbable,невероятный
imprudence,неосторожность
impure,нечистый
inaccessible,недоступный
inaccurate,неточный
inaudible,неслышный
inaugurate,открывать
inclination,склонность
incomparable,несравненный
incompatible,несовместимый
incomprehensible,непонятный
indecent,неприличный
indictment,обвинительный акт
indifference,равнодушие
indigestion,несварение желудка
infantry,пехота
inflame,воспалять
inflict,нанести
influenza,грипп
ingenious,гениальный
inhabit,заселять
inhuman,бесчеловечный
innumerable,бесчисленное множество
inoculate,прививать
inoffensive,безобидный
in-patient,стационарный
inquire,спрашивать
inscribe,вписывать
insensible,бесчувственный
inseparable,неразлучен
insolence,наглость
instalment,рассрочка
insufficient,недостаточный
insular,островной
insulation,изоляция
interact,взаимодействовать
intermediary,посредник
intolerable,невыносимый
intoxicate,опьянять
invaluable,бесценный
invariable,неизменный
irreparable,непоправимый
irriplaceable,незаменимый
jackal,шакал
jolly,весёлый
jubilee,юбилей
judicial,судебный
judicial,судебный
junction,соединение
juggle,жонглировать
justification,оправдание
languish,томиться
lark,жаворонок
lateral,боковой
lattice,решетка
leaden,свинцовый
leech,пиявка
livelihood,средства к существованию
loneliness,одиночество
madden,сводить с ума
maggot,личинка
malignant,злокачественный
malnutrition,недоедание
mandate,мандат
manhood,мужественность
manoeuvre,маневрировать
manpower,рабочая сила
mare,кобыла
marvel,чудо
mayonnaise,майонез
measles,корь
mediate,посредничать
melancholy,меланхолия
minimize,свести к минимуму
miscalculate,просчитывать
mischief,зло
misty,туманный
misuse,злоупотребление
monastery,монастырь
moor,причалить
mortify,умерщвлять
mow,косить
multicultural,мультикультурный
mutton,баранина
navigable,судоходный
nitrogen,азот
nobility,благородство
non-stop,без остановки
novice,новичок
noxious,ядовитый
null,значение NULL
nutshell,вкратце
oats,овес
obstinacy,упрямство
obstruct,препятствовать
odious,одиозный
odour,запах
offhand,навскидку
onset,начало
onward,вперед
opaque,непрозрачный
optical,оптический
orator,оратор
orchid,орхидея
ore,руда
ostrich,страус
padlock,замок навесной
pagan,язычник
palate,нёбо
partridge,куропатка
peacock,павлин
peat,торф
pedigree,родословная
penetrate,проникать
peril,опасность
perish,погибнуть
perpetual,вечный
perseverance,настойчивость
pest,вредитель
pheasant,фазан
pickpocket,карманник
pier,пирс
placard,плакат
placid,безмятежный
plank,доска
plough,пахать
pluck,щипать
poach,браконьерство
pollute,загрязнять
porcelain,фарфор
pore,поры
porous,пористый
Portuguese,португальский
potent,мощный
poultry,домашняя птица
precarious,ненадежный
predicament,затруднительное положение
preface,предисловие
prehistoric,доисторический
premium,премия
preoccupation,озабоченность
preside,председательствовать
primrose,первоцвет
probability,вероятность
procure,добывать
prodigy,вундеркинд
prolific,плодовитый
prolong,продлить
prone,склонный
propaganda,пропаганда
propulsion,движение
prose,проза
protrude,выступать
province,провинция
proximity,близость
prudence,благоразумие
prunes,чернослив
psalm,псалом
pullover,остановитесь
radiance,сияние
radish,редис
raincoat,плащ
ramble,бродить
rapture,восторг
ratification,ратификация
readiness,готовность
